"平成27年秋期　問23 1問目／選択範囲の問題数675問","特許権に関する記述のうち，適切なものはどれか。","","A社が特許を出願するより前にB社が独自に開発して日本国内で発売した製品は，A社の特許権の侵害にならない。","組込み機器におけるハードウェアは特許権で保護されるが，ソフトウェアは保護されない。","審査を受けて特許権を取得した後に，特許権が無効となることはない。","先行特許と同一の技術であっても，独自に開発した技術であれば特許権の侵害にならない。","A"
"平成22年秋期　問9 2問目／選択範囲の問題数675問","通信を要求したPCに対し，ARPの仕組みを利用して実現できる通信の可否の判定方法のうち，最も適切なものはどれか。","","PCにインストールされているソフトウェアを確認し，登録されているソフトウェアだけがインストールされている場合に通信を許可する。","PCのMACアドレスを確認し，事前に登録されているMACアドレスをもつ場合だけ通信を許可する。","PCのOSのパッチ適用状況を確認し，最新のパッチが適用されている場合だけ通信を許可する。","PCのマルウェア対策ソフトの定義ファイルを確認し，最新になっている場合だけ通信を許可する。","I"
"令和2年秋期　問2 3問目／選択範囲の問題数675問","SAML(Security Assertion Markup Language)の説明として，最も適切なものはどれか。","","Webサービスに関する情報を公開し，Webサービスが提供する機能などを検索可能にするための仕様","権限がない利用者による読取り，改ざんから電子メールを保護して送信するための仕様","ディジタル署名に使われる鍵情報を効率よく管理するためのWebサービスの仕様","認証情報に加え，属性情報とアクセス制御情報を異なるドメインに伝達するためのWebサービスの仕様","E"
"平成23年特別　問7 4問目／選択範囲の問題数675問","認証局が送信者に発行したディジタル証明書を使用して送信者又は受信者が行えることはどれか。","","受信した暗号文を復号して，盗聴を検知する。","受信した暗号文を復号して，メッセージが改ざんされていないことと送信者が商取引相手として信頼できることを確認する。","受信したメッセージのディジタル署名を検証して，メッセージが改ざんされていないこととメッセージの送信者に偽りのないことを確認する。","メッセージにディジタル署名を添付して，盗聴を防止する。","U"
"平成27年春期　問11 5問目／選択範囲の問題数675問","マルウェアの活動傾向などを把握するための観測用センサが配備されるダークネットはどれか。","","インターネット上で到達可能，かつ，未使用のIPアドレス空間","組織に割り当てられているIPアドレスのうち，コンピュータで使用されているIPアドレス空間","通信事業者が他の通信事業者などに貸し出す光ファイバ設備","マルウェアに狙われた制御システムのネットワーク","A"
"令和4年秋期　問17 6問目／選択範囲の問題数675問","無線LANのアクセスポイントがもつプライバシーセパレータ機能(アクセスポイントアイソレーション)の説明はどれか。","","アクセスポイントの識別子を知っている利用者だけに機器の接続を許可する。","同じアクセスポイントに無線で接続している機器同士の通信を禁止する。","事前に登録されたMACアドレスをもつ機器だけに無線LANへの接続を許可する。","建物外への無線LAN電波の漏れを防ぐことによって第三者による盗聴を防止する。","I"
"平成28年春期　問23 7問目／選択範囲の問題数675問","アジャイルソフトウェア開発などで導入されている""ペアプログラミング""の説明はどれか。","","開発工程の初期段階に要求仕様を確認するために，プログラマと利用者がペアとなり，試作した画面や帳票を見て，相談しながらプログラムの開発を行う。","効率よく開発するために，2人のプログラマがペアとなり，メインプログラムとサブプログラムを分担して開発を行う。","短期間で開発するために，2人のプログラマがペアとなり，作業と休憩を交代しながら長時間にわたって連続でプログラムの開発を行う。","品質の向上や知識の共有を図るために，2人のプログラマがペアとなり，その場で相談したりレビューしたりしながら，一つのプログラムの開発を行う。","E"
"平成28年秋期　問21 8問目／選択範囲の問題数675問","システム障害発生時には，データベースの整合性を保ち，かつ，最新のデータベース状態に復旧する必要がある。このために，DBMSがトランザクションのコミット処理完了とみなすタイミングとして，適切なものはどれか。","","アプリケーションの更新命令完了時点","チェックポイント処理完了時点","ログバッファへのコミット情報書込み完了時点","ログファイルへのコミット情報書込み完了時点","E"
"平成30年春期　問4 9問目／選択範囲の問題数675問","エクスプロイトコードの説明はどれか。","","攻撃コードとも呼ばれ，脆弱性を悪用するソフトウェアのコードのことであるが，使い方によっては脆弱性の検証に役立つこともある。","マルウェアのプログラムを解析して得られる，マルウェアを特定するための特徴的なコードのことであり，マルウェア対策ソフトの定義ファイルとしてマルウェアの検知に用いられる。","メッセージとシークレットデータから計算されるハッシュコードのことであり，メッセージの改ざんの検知に用いられる。","ログインの度に変化する認証コードのことであり，窃取されても再利用できないので不正アクセスを防ぐ。","A"
"平成22年秋期　問24 10問目／選択範囲の問題数675問","レプリケーションが有効な対策となるものはどれか。","","悪意によるデータ改ざんを防ぐ。","コンピュータウイルスによるデータの破壊を防ぐ。","災害発生時にシステムが長時間停止するのを防ぐ。","操作ミスによるデータの削除を防ぐ。","U"
"平成27年秋期　問1 11問目／選択範囲の問題数675問","AESの暗号化方式を説明したものはどれか。","","鍵長によって，段数が決まる。","段数は，6回以内の範囲で選択できる。","データの暗号化，復号，暗号化の順に3回繰り返す。","同一の公開鍵を用いて暗号化を3回繰り返す。","A"
